Words,Freq
辞去,0.9405940594059407
健身,0.9405940594059407
逾,0.9405940594059407
隐身,0.9405940594059407
戏水,0.9405940594059407
滚滚,0.9405940594059407
筑,0.9405940594059407
闪,0.9405940594059407
放火,0.9405940594059407
搭档,0.9405940594059407
扮演,0.9405940594059407
演唱,0.9405940594059407
装,0.9405940594059407
不断,0.9405940594059407
审核,0.9405940594059407
相聚,0.9405940594059407
易览,0.9405940594059407
抓 ,0.9405940594059407
来回,0.9405940594059407
流 ,0.9405940594059407
入市,0.9405940594059407
指挥 ,0.9405940594059407
踏浪,0.9405940594059407
刷新,0.9405940594059407
对标,0.9405940594059407
成团出道 ,0.9405940594059407
趁热打铁,0.9405940594059407
照耀,0.9405940594059407
 瞧,0.9405940594059407
玩到,0.9405940594059407
换新,0.9405940594059407
纵贯,0.9405940594059407
 烧,0.9405940594059407
各显神通,0.9405940594059407
身为,0.9405940594059407
想念,0.9405940594059407
摇旗呐喊,0.9405940594059407
蛰伏,0.9405940594059407
散,0.9405940594059407
远胜于,0.9405940594059407
歉收,0.9405940594059407
离职,0.9405940594059407
瞎 ,0.9405940594059407
递交,0.9405940594059407
付,0.9405940594059407
公认,0.9405940594059407
兼具,0.9405940594059407
抵消 ,0.9405940594059407
扳回,0.9405940594059407
存储,0.9405940594059407
百花齐放 ,0.9405940594059407
高出,0.9405940594059407
殊途同归,0.9405940594059407
摆明,0.9405940594059407
助,0.9405940594059407
献给,0.9405940594059407
融创,0.9405940594059407
何去何从 ,0.9405940594059407
下手,0.9405940594059407
凸显,0.9405940594059407
敌,0.9405940594059407
战罢,0.9405940594059407
烤 ,0.9405940594059407
升高 ,0.9405940594059407
 猜,0.9405940594059407
议论,0.9405940594059407
获奖,0.9405940594059407
首当,0.9405940594059407
涌动,0.9405940594059407
飙到,0.9405940594059407
参演,0.9405940594059407
卖断货,0.9405940594059407
 入伏,0.9405940594059407
啃,0.9405940594059407
 承古开,0.9405940594059407
领奖,0.9405940594059407
不解,0.9405940594059407
收成,0.9405940594059407
迎战,0.9405940594059407
近 ,0.9405940594059407
登场 ,0.9405940594059407
呼,0.9405940594059407
飞花,0.9405940594059407
燃爆,0.9405940594059407
对出,0.9405940594059407
摇头晃脑,0.9405940594059407
往来,0.9405940594059407
