Words,Freq
衰退,0.9671171798801728
经济学家,0.9671171798801728
债务,0.9671171798801728
萧条,0.9671171798801728
失业率,0.9671171798801728
失业,0.9671171798801728
实体,0.9671171798801728
赤字,0.9671171798801728
经济体,0.9671171798801728
现金,0.9671171798801728
增速,0.9671171798801728
衰退 ,0.9671171798801728
通缩,0.9671171798801728
黑子 ,0.9671171798801728
黑子,0.9671171798801728
劳工部,0.9671171798801728
边缘 ,0.9671171798801728
萧条 ,0.9671171798801728
借款,0.9671171798801728
杠杆,0.9671171798801728
基建,0.9671171798801728
传导,0.9671171798801728
崩溃论,0.9671171798801728
经济部,0.9671171798801728
2 2 ,0.9671171798801728
面板厂,0.9671171798801728
短缺,0.9671171798801728
反义词,0.9671171798801728
面板,0.9671171798801728
造价,0.9671171798801728
定价,0.9671171798801728
商务处,0.9671171798801728
搬家,0.9671171798801728
救济,0.9671171798801728
放水 ,0.9671171798801728
利润,0.9671171798801728
欧央行,0.9671171798801728
量化,0.9671171798801728
产出,0.9671171798801728
 衰退,0.9671171798801728
购买,0.9671171798801728
富途,0.9671171798801728
页岩油,0.9671171798801728
崩溃,0.9671171798801728
贸易圈,0.9671171798801728
债务 ,0.9671171798801728
次贷,0.9671171798801728
降息 ,0.9671171798801728
利,0.9671171798801728
停摆,0.9671171798801728
外国,0.9671171798801728
滞胀,0.9671171798801728
计划署,0.9671171798801728
下滑,0.9671171798801728
叙利亚人,0.9671171798801728
破产 ,0.9671171798801728
看法,0.9671171798801728
暴跌,0.9671171798801728
加息 ,0.9671171798801728
印钞,0.9671171798801728
破产,0.9671171798801728
基座,0.9671171798801728
2020 ,0.9671171798801728
67 ,0.9671171798801728
现代史,0.9671171798801728
萎缩,0.9671171798801728
反危机,0.9671171798801728
金铜比,0.9671171798801728
金字塔,0.9671171798801728
提,0.9671171798801728
电装,0.9671171798801728
 出口,0.9671171798801728
损益,0.9671171798801728
会计,0.9671171798801728
基准 ,0.9671171798801728
整车,0.9671171798801728
 电装,0.9671171798801728
观察网 ,0.9671171798801728
GDP ,0.9671171798801728
制定者,0.9671171798801728
引爆点,0.9671171798801728
慨叹,0.9671171798801728
 去,0.9671171798801728
篱笆 ,0.9671171798801728
Arts  ,0.9671171798801728
拆弹 ,0.9671171798801728
清算 ,0.9671171798801728
 美股,0.9671171798801728
共命运 ,0.9671171798801728
参议院,0.9671171798801728
利益体,0.9671171798801728
科学兴农,0.9671171798801728
利息,0.9671171798801728
道理 ,0.9671171798801728
课,0.9671171798801728
金铜,0.9671171798801728
书本,0.9671171798801728
漩涡  ,0.9671171798801728
敌视,0.9671171798801728
外债国,0.9671171798801728
证券 ,0.9671171798801728
新闻哥,0.9671171798801728
沙特阿拉伯人,0.9671171798801728
比较,0.9671171798801728
相关性,0.9671171798801728
偿付,0.9671171798801728
贷款,0.9671171798801728
供给侧,0.9671171798801728
导火索 ,0.9671171798801728
改革 ,0.9671171798801728
疫情长,0.9671171798801728
何方,0.9671171798801728
新高,0.9671171798801728
疏离 ,0.9671171798801728
美债 ,0.9671171798801728
 五,0.9671171798801728
融资,0.9671171798801728
论文 ,0.9671171798801728
时报刊,0.9671171798801728
援手 ,0.9671171798801728
休克,0.9671171798801728
美,0.9671171798801728
 SDR ,0.9671171798801728
提款权,0.9671171798801728
放贷,0.9671171798801728
接洽 ,0.9671171798801728
资,0.9671171798801728
消费主义,0.9671171798801728
盛行,0.9671171798801728
全胜,0.9671171798801728
天鹅 ,0.9671171798801728
延期 ,0.9671171798801728
NBA ,0.9671171798801728
沖击,0.9671171798801728
工商业,0.9671171798801728
苹果,0.9671171798801728
